Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
664e639f38b0fba80d81a2b0,59142b45ef024b0001c54c33,APPROVED,Not Applicable,2024-05-22T21:29:06.065000Z,2024-05-22T21:44:22.100000Z,2024-05-23T00:30:30.896000Z,2024-05-22T21:44:22.623515Z,917.0,CWWHERKO,2867,English,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
664e639f3aec26a3f28377a4,64b53cb9f438ca54a2ca5065,APPROVED,Not Applicable,2024-05-22T21:29:23.881000Z,2024-05-22T21:45:40.963000Z,2024-05-23T00:30:31.081000Z,2024-05-22T21:46:25.696789Z,978.0,CWWHERKO,788,English,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
664e66b55e8c47ece37a589d,5cae6a77b38ea60016e54889,APPROVED,Not Applicable,2024-05-22T21:42:26.261000Z,2024-05-22T22:00:05.503000Z,2024-05-23T00:30:31.254000Z,2024-05-22T22:02:18.264297Z,1060.0,CWWHERKO,2259,English,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
664e67d3ff4e853e2f54749c,6601a4ae89227e2c04232d0e,APPROVED,Not Applicable,2024-05-22T21:47:13.730000Z,2024-05-22T22:00:54.325000Z,2024-05-23T00:30:31.419000Z,2024-05-22T22:02:35.995358Z,821.0,CWWHERKO,86,English,English,49,Male,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
664e46add87dcea194822d9f,63f78e7ceedefab7c7a62d23,RETURNED,Not Applicable,2024-05-22T19:25:37.708000Z,,,2024-05-22T19:39:09.442000Z,,,252,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e4806ae1963d39b6c3dd8,6373d23e997964ba7adc3dbd,RETURNED,Not Applicable,2024-05-22T19:31:21.102000Z,,,2024-05-22T19:39:09.490000Z,,,237,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e51f440feba6398a6d598,65956900f1580a3b138f7756,RETURNED,Not Applicable,2024-05-22T20:13:47.013000Z,,,,,,30,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e51f4bc1ba2675e2c08ca,5c76474e3348af00159191e4,TIMED-OUT,Not Applicable,2024-05-22T20:13:44.396000Z,,,,82303.0,,1086,English,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
664e520125aed64393d305bd,60c1de8dacf1232623aa3e29,RETURNED,Not Applicable,2024-05-22T20:13:59.302000Z,,,,,,164,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e520542b30b3648a98e4e,657113388b25e8ab178d80ac,RETURNED,Not Applicable,2024-05-22T20:13:57.975000Z,,,,,,105,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e520816e51ac877ef6196,5e90a4514885633c5d0f97c3,RETURNED,Not Applicable,2024-05-22T20:14:00.411000Z,,,,,,504,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e521366062b46eb03e24b,63d053a8441ee460b5e19119,RETURNED,Not Applicable,2024-05-22T20:14:14.747000Z,,,,,,403,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e5220ba91e2b19a332fba,664dbc1663d2bdef56ff8893,RETURNED,Not Applicable,2024-05-22T20:14:41.037000Z,,,,,,2,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e52232a7ee3fda1edc417,5c4dae9a889752000156b1db,RETURNED,Not Applicable,2024-05-22T20:14:35.412000Z,,,,,,2079,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e524b42b30b3648a98e64,65ea053f593cd08bdc652329,REJECTED,Not Applicable,2024-05-22T20:15:15.360000Z,2024-05-22T20:47:20.277000Z,2024-05-23T00:29:58.769000Z,2024-05-22T20:47:20.860000Z,1925.0,NOCODE,22,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e547b0520074d00343451,60c00052c391140811ca1d54,RETURNED,Not Applicable,2024-05-22T20:24:44.500000Z,,,,,,409,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e639b42ac8765e08dc353,664a4e8fb8a92bf4b389e8fd,REJECTED,Not Applicable,2024-05-22T21:29:46.580000Z,2024-05-22T22:08:39.625000Z,2024-05-23T00:29:14.734000Z,2024-05-22T22:08:40.460000Z,2334.0,NOCODE,13,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e639de6c3f7aa0d56bd3d,6648454917c63396f7140c25,RETURNED,Not Applicable,2024-05-22T21:29:06.241000Z,,,,,,16,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e63a0a4d11500514eaaf8,637f8322729ade58ec7229ba,RETURNED,Not Applicable,2024-05-22T21:29:08.834000Z,,,,,,1125,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
