"","prolific_id","total_score","bonus"
"1","654f8ce732f9c35996d256ef",4950,0.25
"2","6425b2e5e7c73e3b56440bfd",4750,0.24
"3","64a06fd6b82646938ec95196",4650,0.23
"4","5ee29028fb6eba3d81ebf0f9",3700,0.18
"5","659e3309ae35db2b1664bf89",15466,0.77
"6","5cff70593530e400165bcde5",4350,0.22
"7","6052640664deafb4f5583add",2100,0.1
"8","5f0ef084d3d74e000a96af10",4075,0.2
"9","644a6820397bfb1e30ec36c5",5516,0.28
"10","5bec992f398eb00001a24ace",5000,0.25
"11","60bbcbbecc362f4b35067e48",5314,0.27
"12","665dc92b7b406eaba1b22892",5620,0.28
"13","65b856d095bbceea9879e9a6",10514,0.53
"14","6065a8becc1f681d7a36115e",4700,0.24
"15","5db303e4863031000b5f0311",7473,0.37
"16","60dceeaa19d94b7d2651c389",7506,0.38
"17","5f0c86cbe4af1361b7158f3e",4325,0.22
"18","609f5b553b1a6005645e026c",5085,0.25
"19","5b6b2c3156558d0001678ffc",13303,0.67
"20","63038e5456edb0d2cb421385",12050,0.6
"21","5e38397719e44f0244389781",7200,0.36
"22","5eb0598b718c920e386736cd",5741,0.29
"23","59cfc4ff4f2d3d0001d8e01c",6375,0.32
"24","65b1188cd0da6b9bf652eec2",7510,0.38
"25","63469da3cef76cc5b3523b97",7321,0.37
"26","662fcd17b20d5b9c6118e801",6315,0.32
"27","6658b838fa019e8f175c7bf4",4175,0.21
"28","5f3483c9be9b7c3a6d9c2d79",14967,0.75
"29","6533e2b5e9ab7a074c52fdf4",14030,0.7
"30","665937316668b5777caac38c",15987,0.8
"31","5c2b9ce5b337310001996c05",4725,0.24
"32","6447e2e2d1e8e330d23d4057",9345,0.47
"33","5ca1cd9c44a54a00156d1a2c",10114,0.51
"34","571a56fc6a1c6300094bb57e",6450,0.32
"35","5dbe36c2df0b4834bec53073",5325,0.27
"36","601a682ebca398285673a4c8",2900,0.14
"37","5c7ceda01d2afc0001f4ad1d",3900,0.2
"38","65b876fb5cc28b62953115fc",6688,0.33
"39","665adff6295a5ab4d0a37000",14563,0.73
"40","5cb0d51dccd0e9001347960d",11344,0.57
"41","65b551055443779e8153c662",5200,0.26
"42","6658cbabaab263fcab6c9553",6605,0.33
"43","5e8b765e88065404c4d50fe2",8440,0.42
"44","65e8c0c4b29e8a0a3ec60f26",9347,0.47
"45","665cd22930e667143ec243a5",4800,0.24
"46","6015801ce68e22652f8b0b97",2200,0.11
"47","66019b2e4e8fd03400e394f9",3865,0.19
"48","665eac6d4cd4a6d9a7059007",1558,0.08
"49","65ff48ba8866040c0d0649c5",7095,0.35
"50","60315645c8c7420a2f1ade9c",3900,0.2
"51","6372639e99b4b50efc9eb4a6",6959,0.35
"52","60940e7600124bd7a1cb35f8",5775,0.29
"53","663a245615539171d9a3611a",14211,0.71
"54","6658b68819546bf4a7e5459b",11040,0.55
"55","6557da88346b2b209cd16bb5",9708,0.49
"56","5c98c51774cc7f0001e67c8c",5667,0.28
"57","6658bc4c430699a798b01e58",2900,0.14
"58","6658ce42d23a7ca344269771",7064,0.35
"59","663e1c9d5b93bcec61e18211",12337,0.62
"60","60ad4325e23286e1191e31aa",7945,0.4
"61","5d68c8aa40524c00189e8ac2",3425,0.17
