"","prolific_id","total_score","bonus"
"1","5e12603776c03b8d43b40747",15323,0.51
"2","5dfa2f835cc380799702c3c7",6975,0.23
"3","5f61e217c36027196cb0cf03",28624,0.95
"4","65084aef034ff0c5dbb3b237",8745,0.29
"5","5b996d51122d800001062ca2",9696,0.32
"6","5f3abfead0362c14ef650c1a",5593,0.19
"7","5c093a3f600aff0001d7002c",28795,0.96
"8","5fc0c7b73605db59cfd30666",14241,0.47
"9","5ec46f95532ae115f2e62f8d",24265,0.81
"10","651ebe38dd6c0168883405e0",11850,0.4
"11","6419963afaf3cfd49b859197",9389,0.31
"12","65af304d4abd092841459c84",4427,0.15
"13","5e282e43266894a3e79a6eaa",10647,0.35
"14","5b3e01e5f7f42f0001251c6f",10114,0.34
"15","60895dd42aa4dab10a53566c",14692,0.49
"16","5d960ffd35a770001a9a0592",15209,0.51
"17","5eb7094fbb8ed70b61398cff",4300,0.14
